plat_no,slot_number,reg_date
T894026RXQ,645,2020-11-27 20:28:51
Z851558INY,76,2020-08-24 21:54:32
V368297ETB,223,2020-12-03 05:49:23
F221429NFG,350,2020-10-10 16:11:10
X347146XLG,985,2020-05-10 04:59:01
V580472CRQ,228,2020-06-05 14:52:23
C366464KJY,313,2020-12-07 18:38:55
W229358PIF,552,2020-02-27 06:06:38
H288722IAM,315,2020-06-01 10:27:11
R623610PRB,807,2020-10-03 11:54:11
Y575665IWQ,167,2020-11-25 08:42:59
U345240DZL,43,2020-11-23 21:31:40
Z222247HER,249,2020-09-21 13:57:54
I555197LYB,238,2020-05-28 00:58:43
H271510IJH,997,2020-04-05 16:40:46
O112517FRH,733,2020-05-11 17:33:13
D361579KYM,860,2020-05-27 23:26:21
R330319EBU,105,2020-07-29 14:21:21
K169548IRW,606,2020-06-13 23:20:05
V864347RTG,139,2020-02-16 04:06:57
W812363OHZ,87,2020-05-29 15:00:27
P728763OXK,449,2020-01-05 05:20:57
S888563SPS,141,2020-09-04 15:17:19
G857285NAF,289,2020-03-22 16:50:25
H276266TAV,4,2020-11-23 08:17:23
C617172WXS,296,2020-04-10 08:50:19
W568568SSA,656,2020-02-11 18:17:16
W920919PFU,208,2020-06-30 22:42:20
B459472YTU,88,2020-06-30 06:49:05
C846896TND,299,2020-01-28 06:52:37
A224428MMT,774,2020-08-31 10:01:57
W590710FIT,857,2020-05-21 00:53:19
E988214DAE,257,2020-02-27 21:45:54
S437152OYS,287,2020-04-09 18:13:23
S920920JGN,234,2020-10-13 19:26:21
P676450CMF,299,2020-08-26 02:45:58
Z595406PCE,345,2020-05-23 05:32:52
U764905BZB,65,2020-07-22 07:00:46
Z134894IXV,902,2020-05-03 13:32:46
K231562JUT,282,2020-07-15 06:33:59
P576232OHI,739,2020-02-01 23:18:56
P513475IQF,112,2020-04-18 11:44:30
J505350XOD,380,2020-05-09 01:33:27
B498120JWF,118,2020-12-26 16:30:01
W916481HSJ,653,2020-12-28 10:04:18
V781535TDX,831,2020-05-14 06:50:30
P924366NVM,881,2020-03-24 18:38:12
T859938REV,75,2020-02-20 22:13:21
P681979HAE,322,2020-06-13 21:41:09
I242147QFF,285,2020-02-16 15:43:23
I226056PUI,805,2020-10-22 20:51:20
Q752548EQL,255,2020-09-08 14:32:19
J133422OKC,397,2020-08-07 17:50:34
E164991WZO,484,2020-01-23 19:53:37
O118731TTI,501,2020-01-07 02:21:40
M404461PYC,388,2020-10-18 18:24:22
S533128OMJ,741,2020-02-09 12:46:33
V370453MRU,483,2020-12-24 22:49:37
M707640RFF,606,2020-09-28 01:55:57
K676615NIJ,822,2020-10-13 10:10:09
H481069NDR,486,2020-08-29 03:45:16
J354048VEO,115,2020-06-25 17:58:56
Z643155BNV,700,2020-11-01 02:45:45
T415321VFJ,881,2020-09-15 13:47:25
H553954NOZ,195,2020-12-25 00:46:28
C203205RCH,977,2020-12-09 17:45:00
I598872NYJ,764,2020-09-08 21:54:25
I372290MHR,723,2020-04-21 09:53:01
W481831PKE,691,2020-06-23 15:01:08
X342083TIW,197,2020-12-11 08:48:53
C511804GNI,144,2020-11-15 06:53:33
T928988ULG,811,2020-09-28 03:07:24
Y941248GFE,277,2020-08-14 10:54:43
C130854WSZ,923,2020-12-16 18:53:17
V890122USV,223,2020-01-22 04:02:05
S865154CHB,309,2020-02-25 17:03:48
Z723448HEH,897,2020-05-04 21:25:48
Z490658BSA,798,2020-08-10 23:55:09
Y827942SHI,97,2020-06-04 20:50:16
J381103RDG,419,2020-10-06 14:27:37
R482527GYN,105,2020-10-07 18:12:36
G711976RXS,888,2020-04-20 14:36:39
H535931VFF,440,2020-06-04 05:28:03
M990754DHJ,525,2020-09-06 04:07:39
P457060XIF,181,2020-05-12 11:32:34
I774499OMW,473,2020-11-09 07:46:02
L829741YVF,388,2020-04-17 20:58:15
N282725OYT,458,2020-02-17 08:05:00
M614733AIP,394,2020-04-16 18:31:11
B813648RVK,191,2020-08-28 13:40:01
Y975215YIX,546,2020-05-14 03:45:42
I877337RGR,7,2020-11-14 14:49:52
X596843IWY,45,2020-03-23 11:50:32
M471824LAJ,684,2020-01-16 23:19:01
U115477IXM,56,2020-08-26 01:44:06
A804667NXM,32,2020-01-13 10:41:37
T397272HBG,494,2020-09-21 06:44:20
V852172HOK,294,2020-12-30 06:15:15
C120021RQS,725,2020-05-25 17:53:24
I551778JAD,290,2020-04-11 14:17:50
D710419RUX,994,2020-03-20 13:49:02
Y133872PTO,284,2020-06-29 13:04:36
D745574NAL,313,2020-09-18 04:04:37
R936196OSL,853,2020-01-18 16:23:33
Z253799KZO,294,2020-10-13 08:01:23
M783423VUB,529,2020-08-05 20:05:07
I751321XIM,411,2020-07-30 04:49:26
D822279RMN,823,2020-08-30 22:49:33
S316720HQT,383,2020-01-06 10:08:20
F138065QMP,327,2020-06-18 16:09:04
R190021VET,543,2020-08-02 00:38:40
D527015AXX,771,2020-05-30 05:16:33
G989508PMT,872,2020-03-21 14:10:11
M229540ZPH,235,2020-12-29 21:05:41
A422260NWM,936,2020-08-04 07:56:21
O359548LHI,274,2020-10-08 12:24:20
K170835LUP,943,2020-11-09 18:53:14
F462381JRN,430,2020-06-22 00:06:19
E148258VGN,194,2020-10-19 07:26:59
M242363DTM,580,2020-06-12 09:42:45
X321219MTW,309,2020-12-29 12:11:48
B207939BJI,617,2020-08-17 18:37:47
F590301JEU,418,2020-07-04 07:21:13
J831808XLP,124,2020-03-30 23:14:05
H721790QBZ,402,2020-12-27 20:12:09
Y608870FZW,903,2020-08-31 17:13:50
D702912KMZ,375,2020-12-17 01:45:19
D624422RED,957,2020-04-17 14:30:13
F164428AVU,413,2020-02-02 05:35:36
O192644OKF,765,2020-08-14 23:22:34
X248796WMQ,162,2020-11-11 04:52:39
Q897524ENJ,334,2020-05-27 22:15:07
U159482RWK,982,2020-09-06 20:02:42
S280338FRK,343,2020-06-19 20:29:30
B555729JBJ,288,2020-09-29 11:00:28
A562828PYZ,559,2020-02-26 08:07:09
C434107MZQ,58,2020-06-06 20:53:09
K648250QII,625,2020-06-25 08:58:36
O247212OAD,341,2020-08-01 20:46:44
S565370RVJ,139,2020-07-08 10:15:14
X304140NQV,133,2020-01-16 20:22:27
E593671YCH,821,2020-03-06 14:08:55
I465006VIH,426,2020-11-06 16:35:44
Q601959FQA,231,2020-08-30 23:02:29
A369190LSM,450,2020-10-14 07:23:45
Y205282OJG,612,2020-11-18 08:27:34
M925295OAB,870,2020-03-20 11:50:03
E758041TDT,399,2020-04-24 23:14:16
Z527568JED,335,2020-09-20 09:19:00
K827192LJS,595,2020-12-16 08:24:34
H137644YHB,52,2020-02-11 17:18:03
W200551EOC,958,2020-05-28 02:49:21
U988730LCP,388,2020-07-29 19:34:47
B544122UKL,895,2020-09-06 17:34:56
K202080SAS,825,2020-02-11 22:46:31
K393711FEA,890,2020-04-24 10:21:42
C687093YRC,309,2020-06-12 17:15:11
D398660RKJ,261,2020-02-29 02:26:44
N948720TZC,898,2020-09-07 12:18:31
F312977WAE,491,2020-01-03 17:54:08
S602132NFI,763,2020-08-31 06:47:48
U447147MCX,431,2020-08-28 08:29:58
K308028VUN,273,2020-03-15 20:45:07
P646159BWH,694,2020-12-28 10:32:44
B673094UGZ,764,2020-12-04 20:21:17
C939750YDD,618,2020-03-05 00:34:18
G108234YPF,346,2020-07-27 18:55:04
Q748272IFK,242,2020-03-04 07:48:53
O920242AAH,316,2020-01-26 02:00:37
G893856MZY,197,2020-03-24 18:41:19
H860872KWP,450,2020-10-25 08:38:58
P116652QUS,349,2020-11-23 17:07:11
T479136YAB,586,2020-02-08 00:47:42
L409533LIP,226,2020-06-14 10:39:34
T363153IRS,483,2020-09-15 10:07:24
E844926BGG,411,2020-07-23 12:20:58
V546296JLU,803,2020-11-20 20:54:40
Q113890LXH,162,2020-04-18 04:45:42
G819448WJK,224,2020-07-02 23:29:25
N134688HLQ,619,2020-02-21 13:32:15
S230079BZI,576,2020-10-25 22:24:52
Q354525CMA,930,2020-05-02 13:56:46
S172114SDN,440,2020-02-14 22:00:32
B555803YMQ,659,2020-01-15 22:21:25
M543344QNG,574,2020-01-08 06:25:34
F562432TVD,379,2020-04-23 12:14:27
T641036EOE,34,2020-09-19 12:52:17
O751395QIB,345,2020-12-29 15:14:28
H143754SBZ,215,2020-03-01 03:35:20
D985335YOF,835,2020-06-29 22:58:08
H873926YHJ,165,2020-02-10 03:26:54
U825159BPS,649,2020-06-20 02:18:51
O786697XCG,951,2020-05-14 15:40:30
B362820NUE,614,2020-12-27 20:01:08
C422728TZD,952,2020-06-13 04:20:39
J824725MGR,740,2020-10-13 13:49:05
C172154KUN,291,2020-07-16 07:55:05
B674574PSD,121,2020-12-15 11:30:45
K776929AFU,982,2020-04-10 11:36:18
J899892NKF,643,2020-06-11 23:01:14
Q982629QOI,485,2020-02-23 08:46:07
N531239DIB,536,2020-06-19 00:15:15
V438137GKZ,232,2020-09-12 12:57:39
N378836BDI,805,2020-12-03 09:57:29
L325365DSX,327,2020-10-14 19:29:11
P328963SEP,252,2020-07-15 03:05:48
N629017LFA,545,2020-04-14 00:01:16
R789087DFS,719,2020-10-31 02:30:30
F787081MWG,88,2020-09-05 22:13:46
H640414SLD,878,2020-05-22 04:32:42
E794504COY,63,2020-10-17 17:38:42
K914791HSE,622,2020-03-07 08:32:08
Y168110JTO,501,2020-03-12 07:28:08
E138700CHQ,304,2020-09-22 17:15:32
S247712MSL,742,2020-04-18 00:28:57
O864078ATU,648,2020-02-26 04:33:36
U332372SGZ,254,2020-05-26 05:29:23
Q362850YVQ,427,2020-08-30 09:37:05
C774049QBL,1000,2020-09-12 17:39:18
K701642PWQ,797,2020-05-09 07:38:21
D601430XJI,683,2020-09-16 23:46:18
Y333513EKP,732,2020-11-07 01:55:47
S778295DYT,242,2020-04-07 10:30:53
Z688570MZR,213,2020-11-20 05:10:42
S106338UJF,101,2020-05-14 07:15:10
Y267505CIK,262,2020-12-14 07:53:37
J706141OAR,874,2020-06-03 01:10:17
U342889KVQ,156,2020-04-26 02:28:16
V707751JRD,573,2020-03-21 01:07:33
G748324GZJ,865,2020-10-15 13:15:54
P730792AQQ,401,2020-04-27 06:18:30
L892528NXB,915,2020-03-04 11:35:54
B276436TFD,647,2020-12-20 14:52:02
B322837XJG,131,2020-06-02 03:50:01
B283195KOQ,187,2020-08-04 08:12:02
P453435AFS,366,2020-09-15 02:03:26
A358123OBD,45,2020-05-18 15:27:05
X846361RPI,601,2020-03-20 19:12:37
G567854JLD,991,2020-07-03 15:20:27
T107005VWJ,201,2020-10-30 21:25:05
Q940122WOZ,163,2020-01-14 23:28:27
X241837ZYD,401,2020-03-01 11:20:55
Y922128QZW,22,2020-02-15 06:36:27
M169582HOW,502,2020-05-10 08:00:55
G178678RVL,678,2020-08-07 19:38:24
L899204ONS,788,2020-11-17 03:20:36
E346031IIY,40,2020-10-19 17:15:49
Q308858YPO,582,2020-01-29 21:00:15
U981288PLI,876,2020-08-19 11:52:20
A984666LPI,408,2020-02-12 13:45:23
J202704DJV,111,2020-04-02 10:13:58
J455086BPJ,318,2020-01-20 05:15:51
N628474ONL,750,2020-07-14 07:43:01
R375034HNQ,669,2020-05-10 17:58:40
W661311RKO,786,2020-08-29 23:26:22
Z712724BWK,763,2020-10-22 22:06:28
G716744KGG,101,2020-07-28 16:49:05
R601762XTL,32,2020-06-23 03:34:26
T465624UZJ,363,2020-06-08 05:09:04
P479670NJP,467,2020-09-24 08:26:18
C557103NBC,909,2020-03-17 06:48:43
D841940TAO,380,2020-07-31 15:44:11
K207979HTY,839,2020-06-06 05:31:46
T241214CAB,156,2020-01-20 01:18:55
J604804HHI,319,2020-10-30 06:44:18
T562397SHJ,321,2020-10-25 07:44:42
L898749QQF,632,2020-12-02 14:19:07
X334865AJX,708,2020-07-18 05:47:10
K949972BKU,399,2020-04-10 02:50:41
X548595RRY,748,2020-08-01 05:06:02
X474533PMA,629,2020-12-03 06:00:01
Z307755ZUK,577,2020-04-02 22:25:23
B555407RCF,476,2020-07-02 12:26:17
V612954TWR,757,2020-09-14 19:40:50
Z718136RSS,340,2020-07-11 19:32:23
K918607AES,44,2020-12-03 08:57:35
O365058CXS,714,2020-02-21 15:51:34
G174128RXB,139,2020-11-09 00:29:01
H372295SEO,784,2020-01-27 06:13:29
B588196QGU,738,2020-05-30 21:09:58
P977099FVH,690,2020-07-06 00:00:32
U263073XKQ,333,2020-05-07 05:41:04
Q237780SHA,258,2020-05-19 02:16:37
M634942SWG,572,2020-06-19 16:31:46
Y331543TAQ,885,2020-04-15 20:48:16
P666910BRZ,18,2020-10-13 12:00:09
U548310NGI,770,2020-01-08 19:16:55
G876982PSB,657,2020-07-02 08:46:03
T443754AEW,555,2020-10-03 18:09:01
Z646031RQR,647,2020-03-17 10:25:08
T611093LLV,565,2020-03-24 04:29:28
H716730GEN,853,2020-04-11 15:37:59
A204265AXI,554,2020-03-15 08:32:03
T507435MQH,668,2020-12-19 14:30:16
X567286FNF,579,2020-10-28 00:44:22
X894526PEE,133,2020-12-27 00:16:46
X462701HAL,606,2020-10-11 01:52:29
R586923QDV,238,2020-02-15 04:41:33
H538568COW,868,2020-01-03 14:44:42
C924407ZJL,420,2020-09-06 16:58:37
R220614BRF,764,2020-03-23 08:19:10
O433219PBI,50,2020-04-08 18:00:44
Z745978AIH,367,2020-04-05 04:52:59
A662939NYF,966,2020-03-26 05:44:34
G310596QXX,489,2020-03-12 05:35:03
L479938NZY,637,2020-09-29 10:00:02
Q716759UVH,386,2020-10-24 00:28:35
L705605VOT,317,2020-08-20 11:21:19
L532052YBY,107,2020-03-17 22:46:30
Q302118VXQ,183,2020-03-28 06:51:07
J597473NFX,792,2020-03-15 03:02:48
E169379WHA,174,2020-06-01 16:38:55
T722517YXB,43,2020-06-05 03:51:17
W859846YRU,536,2020-07-12 03:51:34
Z579397ZYH,210,2020-07-02 13:17:44
O886603YWY,174,2020-09-18 01:18:17
I700669RSF,413,2020-11-15 14:43:52
M113785OCX,255,2020-10-19 11:36:04
C308245IMG,894,2020-09-05 12:50:27
N236650VGN,956,2020-10-28 13:31:41
G472229GTJ,760,2020-09-17 01:10:46
F484177HWX,377,2020-05-02 03:39:47
U427725TCS,634,2020-01-14 04:32:54
M274869SHW,26,2020-08-18 22:55:20
D292384AGP,34,2020-08-18 03:04:23
Z730322JFO,794,2020-10-08 18:52:31
V862449ESK,423,2020-07-13 14:45:54
R303322CCA,141,2020-07-26 03:38:50
C946195QJM,389,2020-05-11 12:08:41
L906885HFL,811,2020-11-04 15:02:08
Z456829CTH,253,2020-10-07 09:35:00
B311710NQF,781,2020-06-20 14:00:23
A156077SMY,172,2020-05-08 20:36:03
F174650HTD,370,2020-09-07 08:45:44
Y332525MOP,365,2020-03-12 10:30:00
H357541RKS,841,2020-10-10 01:17:32
G564499BQG,588,2020-01-20 06:32:23
J482990LAN,60,2020-10-22 04:11:40
Z347010EBO,64,2020-08-17 00:54:41
M156082PEN,628,2020-01-30 04:55:08
E934243HVD,623,2020-12-03 08:48:24
E844012QHZ,769,2020-01-03 21:23:01
B335325ZXQ,307,2020-06-30 16:16:55
T622882NUK,137,2020-03-20 03:18:22
P709125BZZ,19,2020-07-29 20:28:54
O729526QTN,92,2020-11-26 17:48:42
H979216WNB,327,2020-08-20 18:43:08
V892761AHQ,645,2020-06-02 03:59:16
Q945349MUE,141,2020-08-02 16:22:10
T217114FEV,283,2020-02-04 03:34:33
P233484NUI,12,2020-07-30 08:21:49
J981468RDM,450,2020-01-01 16:56:48
R427977NII,715,2020-08-28 15:05:29
D854631WDK,673,2020-01-19 02:29:54
V282289MEY,641,2020-08-31 05:56:40
E533592SKW,543,2020-04-30 19:04:54
G886393GBH,228,2020-12-28 22:38:00
W918359GUU,334,2020-05-22 11:35:38
S587132HQA,9,2020-09-12 16:18:46
L332294FRD,925,2020-05-17 02:49:59
T323465SQA,349,2020-10-24 11:31:03
R187248NBH,840,2020-09-17 01:43:57
M807659DUC,655,2020-04-04 21:45:08
M316396XAE,691,2020-06-09 01:35:51
S361223XYR,218,2020-01-28 18:24:00
C571829KEU,187,2020-03-05 01:13:44
D733966ZKR,302,2020-01-01 15:04:54
Q646847NUK,509,2020-10-18 16:18:04
R578919RED,216,2020-04-15 18:22:38
B370229PEL,984,2020-08-20 08:32:24
D646065AGS,892,2020-03-27 09:42:17
B863341MCV,179,2020-12-17 22:30:02
L807607FMP,367,2020-12-24 05:03:12
P128433NPY,577,2020-03-16 03:08:37
D509048SEP,766,2020-05-21 20:49:46
D855175GEG,844,2020-03-15 19:18:11
P669147WFU,150,2020-05-04 20:02:24
F194261NVX,918,2020-10-03 15:50:38
B165590WDQ,968,2020-08-29 09:33:10
C894937FHI,284,2020-07-15 04:46:02
U190564NBW,236,2020-02-17 10:11:43
O483751PJM,710,2020-01-19 16:15:16
S186724YLC,278,2020-04-22 08:31:37
C420762NIR,876,2020-10-30 09:25:51
G538845IYU,991,2020-01-15 13:10:03
P669804ZMF,863,2020-06-18 19:55:07
Z229553FEI,659,2020-07-03 21:44:52
K730143ZHC,156,2020-08-05 23:27:43
U143724CQL,2,2020-12-06 12:18:17
C142962XGU,909,2020-12-16 11:03:39
C523211WWG,618,2020-02-10 07:26:35
W654828GIE,495,2020-01-09 16:13:33
H426723NXX,551,2020-10-17 02:39:32
J214113SKJ,473,2020-09-15 01:53:06
F311016TRQ,603,2020-11-06 07:20:11
O910071HGD,830,2020-10-16 22:41:15
D525690TGS,203,2020-05-25 19:05:04
U971242AKT,736,2020-10-23 22:13:20
H732454UXZ,30,2020-09-27 15:50:03
A162884TDP,312,2020-08-24 10:36:42
U959268JBY,432,2020-10-08 12:19:17
L895687GVN,921,2020-11-18 07:33:38
C218903HFH,701,2020-08-28 13:53:31
Y560540QKT,32,2020-03-10 10:41:27
N674127NJO,133,2020-07-26 05:09:45
K557428GWH,442,2020-08-20 13:04:07
B383954LJT,837,2020-11-24 06:38:09
N779578QVT,523,2020-04-28 10:14:56
U787752LKG,353,2020-11-08 03:00:57
S855143VKH,627,2020-08-31 15:50:58
X999741OAR,598,2020-03-11 05:12:48
N629172OMS,247,2020-02-04 03:53:39
Y676453OLI,583,2020-08-29 12:06:15
J350516BQQ,186,2020-05-25 21:55:11
M585049YHL,611,2020-08-26 00:54:10
G127522BKG,873,2020-03-04 11:39:35
R692520BDN,870,2020-12-07 09:20:42
O584487ISQ,184,2020-08-30 02:54:37
S163137BCK,452,2020-05-06 06:11:16
V951003LBX,749,2020-03-16 04:02:10
C639141NMF,316,2020-12-16 17:12:52
T384335DYW,847,2020-08-27 19:23:35
Z638552USC,281,2020-02-02 03:37:39
W256869UNM,732,2020-03-17 12:00:31
E777894RFL,226,2020-09-05 09:22:20
G721171YXR,897,2020-09-28 18:50:51
C981159YKN,113,2020-02-14 17:14:46
T261450ALC,93,2020-10-20 12:49:20
J646980RCP,57,2020-05-27 23:39:50
U433854NEZ,315,2020-07-29 09:38:58
Q534855RLZ,790,2020-03-09 18:29:36
A433673HRJ,51,2020-07-19 21:16:27
M562509LID,743,2020-03-21 02:50:08
O313820TAM,412,2020-09-25 05:53:05
W874100VGL,495,2020-11-02 09:27:36
Q396057BWM,728,2020-09-10 01:06:28
Z652728DGR,140,2020-03-28 17:39:02
B155747PEG,845,2020-07-11 06:33:27
W934444HQF,171,2020-02-20 06:44:58
P113871ZCJ,592,2020-08-09 08:46:37
D182573ZTM,353,2020-08-10 19:03:38
W381466WBD,941,2020-05-19 01:04:05
X793303IRC,812,2020-10-28 15:46:32
O132115OGP,181,2020-07-17 22:41:16
L569073PPL,55,2020-03-10 12:33:23
N752042EZJ,138,2020-03-14 07:06:33
H320175DSE,971,2020-06-29 11:24:26
K668801GON,34,2020-06-28 02:14:59
Y389631ELT,431,2020-12-25 07:02:26
U707754BIL,445,2020-10-30 18:04:13
X423065SMM,508,2020-06-09 04:21:58
N249296IMZ,793,2020-02-27 10:38:29
M603172BCS,268,2020-03-17 23:59:36
L679080SZD,168,2020-09-27 07:52:42
G207934WUX,260,2020-02-08 09:11:01
R125286NDP,254,2020-03-28 20:42:15
A106425ZDA,876,2020-12-18 05:43:06
I234961TFB,777,2020-10-08 10:22:47
E160224JEG,692,2020-02-17 04:53:28
R232828MZE,163,2020-10-14 18:37:02
Z888239DPD,908,2020-01-13 22:06:00
G262107LFT,195,2020-12-14 09:30:55
A378965TRX,782,2020-08-31 20:00:18
E139419PEC,831,2020-09-22 17:24:58
A774688STH,298,2020-06-08 09:39:55
I947685IWT,663,2020-06-26 23:32:43
U801619IFF,417,2020-05-04 17:19:28
Q907551MQL,781,2020-08-08 17:22:27
V974203BIY,135,2020-04-24 00:14:48
E366239EEA,116,2020-08-05 16:26:08
S648045QHE,484,2020-10-24 13:08:07
N621998HWP,944,2020-01-16 10:15:08
O481010MTC,74,2020-04-11 03:36:57
F709018XPP,188,2020-01-10 20:22:59
Z567579CJV,804,2020-05-16 19:14:07
P614555WGG,74,2020-03-26 09:41:27
X229515KYI,243,2020-09-22 07:45:40
B569070BWR,613,2020-07-26 09:48:42
R595828ZNG,398,2020-11-01 19:21:35
J106731UOQ,71,2020-04-10 23:36:44
O265053ISD,987,2020-09-25 13:59:11
R520497TJI,675,2020-12-25 14:57:50
B693836OPZ,316,2020-07-12 12:57:46
O394994XSG,428,2020-03-31 11:32:53
G330247IZO,534,2020-10-31 04:18:06
P329973TOA,913,2020-11-26 14:21:36
J421402DRQ,587,2020-03-16 10:21:26
U546457RRE,514,2020-10-11 15:40:03
K691247FBP,455,2020-01-10 05:17:55
A155612OPM,534,2020-03-24 23:34:08
O260036LSS,125,2020-08-06 07:40:49
X136681KAB,233,2020-08-16 09:49:40
E694138FRY,542,2020-10-11 05:03:09
C110059MZC,365,2020-12-11 16:43:21
M603785BBR,77,2020-06-17 13:35:53
S386032CEQ,154,2020-05-31 19:23:01
H180007QIT,991,2020-11-23 11:02:18
H921738AGJ,188,2020-02-29 01:29:43
H474823UIV,280,2020-12-09 16:51:18
P103754MFX,15,2020-10-27 05:35:57
Y746479YMO,513,2020-09-16 00:59:04
T194201HUH,628,2020-12-09 14:34:08
A427112PAP,881,2020-09-08 00:39:43
V460638SPT,987,2020-12-01 02:52:25
Q139578JRJ,127,2020-12-21 11:58:03
U444737FNM,85,2020-08-30 04:55:35
X184471UGZ,589,2020-11-01 21:57:12
E416014PKS,748,2020-06-07 23:15:31
Z860784GKQ,490,2020-01-15 00:01:31
L981433PHA,262,2020-03-04 19:48:54
K365196FWT,352,2020-05-14 00:34:48
O757860QQA,179,2020-11-23 00:37:38
Y479563YZS,590,2020-11-01 17:04:56
B694612UAP,69,2020-03-23 09:08:51
G285551QTF,792,2020-11-20 14:35:44
C215502OEX,53,2020-08-23 02:05:13
D997842HTH,320,2020-02-01 03:27:59
F502089LZL,55,2020-08-26 12:09:55
O192389IMB,828,2020-04-20 17:01:29
O416598OHT,256,2020-05-01 09:19:27
Y794210JZN,634,2020-02-19 12:16:23
V198459YAA,36,2020-05-27 09:32:17
H738965OFG,343,2020-06-23 18:18:33
V933696SLV,891,2020-08-11 07:00:05
B352346LGR,197,2020-04-25 23:49:32
L718415JOP,588,2020-04-24 03:57:53
Q807188AAR,606,2020-08-08 12:59:52
H253735WMK,498,2020-09-01 13:25:30
D233079GEQ,832,2020-02-01 10:01:21
R767271SDD,616,2020-11-08 02:12:40
D395918SSA,240,2020-09-07 11:44:37
Y223447VJQ,748,2020-06-13 05:37:35
S850626GDJ,576,2020-11-16 02:23:17
I490982TDC,98,2020-01-04 01:57:59
S267764DIY,901,2020-05-25 21:12:25
F710137CNB,829,2020-04-06 11:42:07
O474012AWG,960,2020-10-19 22:13:18
W233271DPM,752,2020-06-07 04:29:33
M150780IZK,882,2020-06-04 05:15:17
N137263AKY,209,2020-04-16 00:58:40
S973749QLP,628,2020-03-03 23:49:50
Z900409PFC,654,2020-04-25 03:57:07
M548561DXY,137,2020-09-25 05:11:20
O325779SKE,194,2020-06-04 14:22:36
L288524IYT,476,2020-12-15 11:30:25
D431818FFT,752,2020-01-08 06:08:04
E872363VYF,969,2020-05-21 13:31:34
Z701930UGI,796,2020-09-06 23:37:06
L275148EHA,794,2020-04-30 07:51:46
F360043UFN,789,2020-08-29 14:51:31
K907642EON,838,2020-07-29 08:05:30
C957893XZQ,163,2020-06-10 00:09:53
Q549347BYX,13,2020-04-06 09:28:19
W940247BOY,659,2020-12-25 12:15:04
U959306RFW,672,2020-02-23 15:54:10
R571206HEC,613,2020-05-26 04:57:41
X739095GAA,795,2020-06-28 04:40:08
L893791VIH,386,2020-09-02 03:35:31
Z779636RQT,181,2020-03-05 00:35:30
J502415WFZ,141,2020-07-29 02:29:53
C889354BWV,38,2020-12-28 03:53:36
S847316BVQ,77,2020-09-28 19:38:18
U225681IKS,999,2020-02-06 22:41:01
G679071JBM,801,2020-11-19 08:45:23
A410009JFC,324,2020-12-17 13:56:12
Y157918PEE,537,2020-06-06 11:57:47
R832616XCI,803,2020-07-23 20:28:50
R313731JVA,620,2020-06-24 14:40:14
M449080FOX,76,2020-06-01 19:52:26
I816165GHG,790,2020-09-25 23:10:49
Y878703GCD,996,2020-02-16 22:02:49
L491638TJK,871,2020-09-13 06:03:18
M634990TRJ,350,2020-02-02 20:29:24
K657254ODA,344,2020-03-12 04:28:41
W775203HOC,909,2020-05-31 02:09:27
H663546EIH,903,2020-07-13 16:19:31
U300019MZD,877,2020-01-10 02:39:44
B638537UZF,881,2020-09-04 06:21:25
C451468RIT,385,2020-11-02 03:53:57
P149658IUE,192,2020-05-21 12:31:42
L371236HMM,14,2020-04-04 21:43:04
O547011XCK,999,2020-10-18 06:28:49
N825947KGV,916,2020-04-22 22:39:05
W862663JDQ,410,2020-05-27 16:50:36
U392218JAQ,470,2020-12-21 11:31:02
I350654RWO,755,2020-03-05 11:38:39
J277720IUV,26,2020-06-23 16:23:00
D553761ACC,7,2020-09-11 07:04:18
R115831MKK,283,2020-07-03 06:00:15
X682993XFQ,869,2020-12-20 23:33:51
B523633PJB,369,2020-09-10 17:10:13
Q107845CVJ,218,2020-08-04 11:48:32
Z273682LGK,463,2020-04-04 22:06:20
B935529FAV,908,2020-03-10 12:04:26
G719941HZS,160,2020-01-09 02:29:44
G353210CMY,221,2020-07-30 05:57:34
Y878220CNC,588,2020-03-05 12:22:32
N648864VHO,819,2020-11-07 16:41:16
M923949GVI,848,2020-09-25 14:26:16
X493904CAC,794,2020-10-18 08:28:03
G150975VGD,88,2020-06-09 17:10:15
X583304JUZ,149,2020-04-18 18:50:52
T308879UHQ,569,2020-06-18 08:09:54
I207138LJY,366,2020-04-16 18:47:58
K246573DQM,721,2020-10-17 23:20:18
Z448704VHN,577,2020-04-09 18:57:01
J240187ODJ,916,2020-12-22 04:16:22
U106927JYL,288,2020-03-14 02:09:54
K823024HGI,446,2020-09-03 11:43:17
Y543884KSJ,497,2020-07-21 09:13:42
X675092JHT,916,2020-09-26 09:13:16
O845147NZJ,124,2020-09-16 21:31:10
N486805IVI,542,2020-12-12 09:07:44
M470544GBR,155,2020-08-22 06:04:57
E433357BLG,741,2020-11-20 07:38:29
K114868EGI,880,2020-06-14 10:50:47
V587858DAB,561,2020-08-14 20:45:28
V718549MKY,142,2020-09-19 12:00:50
P867687JXF,571,2020-10-15 10:01:42
Y861562OWU,444,2020-12-13 01:05:21
W102114CZL,166,2020-07-18 01:07:09
P933178YRO,599,2020-08-15 11:41:25
Q365893KUU,265,2020-03-26 11:35:32
V494499ZCG,497,2020-08-18 17:26:20
K498340JHK,923,2020-09-18 04:55:59
V975011JJR,589,2020-10-13 23:03:36
M666970WUR,954,2020-01-02 11:35:45
F910156ESJ,653,2020-02-02 02:37:09
